event_id,timestamp,city,driver_id,rider_id,trip_status,driver_status,pickup_lat,pickup_lon,trip_duration_mins,fare_amount
91497b23-9692-4397-8607-c7b381652a4e,2025-04-11T18:27:41.346200,London,DRV-6216,RID-4825,cancelled,active,51.782918,-0.607589,7,3.32
23e40d3b-6cdd-4b7d-9258-c334e27b50db,2025-04-11T18:27:41.349596,Glasgow,DRV-5722,RID-2507,cancelled,active,52.790235,-1.981345,34,9.28
86f5f928-eed5-4171-a631-475604fec6aa,2025-04-11T18:27:41.349648,Birmingham,DRV-7341,RID-3002,in_progress,inactive,51.823951,-1.685289,45,39.63
0b8f6bea-a6b6-4e00-be99-e854efcb04ae,2025-04-11T18:27:41.349673,Glasgow,DRV-2205,RID-9640,completed,active,52.555979,-2.369399,37,39.67
09091caf-8b67-4b8b-ae38-99b4de32f2c1,2025-04-11T18:27:41.349695,Birmingham,DRV-5276,RID-2482,completed,active,52.936798,-0.707979,13,9.12
5f85ea4f-e8c4-4dd5-ac37-1ba1ef8537b8,2025-04-11T18:27:41.349718,Birmingham,DRV-4899,RID-9692,in_progress,inactive,52.828684,-1.462613,33,36.51
3c6f45a4-a066-4bb3-a0ea-e08302a8304e,2025-04-11T18:27:41.349739,Birmingham,DRV-5701,RID-5413,in_progress,inactive,52.135612,-2.82289,24,16.42
baead91a-0cde-46fc-a0fd-256ee6fc3c1c,2025-04-11T18:27:41.349758,Manchester,DRV-2894,RID-2241,in_progress,active,51.316758,-2.191761,60,13.03
30127d47-9346-4d09-bca5-922f17c4ecab,2025-04-11T18:27:41.349776,Birmingham,DRV-1130,RID-4379,in_progress,inactive,53.046627,-2.347775,18,8.53
210c4733-3e2e-48bb-a76f-b79773d328fe,2025-04-11T18:27:41.349794,Birmingham,DRV-9782,RID-8968,cancelled,inactive,52.879829,-1.561056,35,27.85
4a6e01d4-e9f8-408e-a868-3e76a841a4dd,2025-04-11T18:27:41.349811,Manchester,DRV-9848,RID-7341,in_progress,active,51.687724,-2.843976,23,18.91
0bf13b5f-ad95-45f0-80b3-2283d14a3008,2025-04-11T18:27:41.349830,Glasgow,DRV-2284,RID-7859,cancelled,active,51.981953,-2.707003,36,26.61
332828fd-2d77-43b1-a4c1-a26529e98dd2,2025-04-11T18:27:41.349849,Birmingham,DRV-1158,RID-9004,completed,active,51.455424,-1.406642,38,3.28
46694531-77e6-4def-b9a1-fca65fc6727c,2025-04-11T18:27:41.349869,Manchester,DRV-7766,RID-1724,completed,active,52.895263,-2.772919,33,10.01
e62fb83d-4701-49f0-818a-8ddd0712e2b0,2025-04-11T18:27:41.349904,London,DRV-4687,RID-7974,cancelled,active,51.752471,-2.992232,11,26.61
958cd32c-1d41-42de-a625-619775e4ae71,2025-04-11T18:27:41.349917,London,DRV-1793,RID-9851,completed,inactive,51.334807,-2.25438,47,27.58
88b5a40e-9239-4f11-b0b1-77e61ff9bec6,2025-04-11T18:27:41.349928,Glasgow,DRV-5152,RID-7726,completed,active,52.062457,-3.167429,15,38.64
dd86a414-f01b-4f98-b85f-c67d42cc404d,2025-04-11T18:27:41.349939,Glasgow,DRV-9040,RID-1393,cancelled,active,52.347834,-0.969544,29,34.88
11fa0af9-38d1-44eb-bbc2-f72badaf9142,2025-04-11T18:27:41.349949,Leeds,DRV-5032,RID-3489,completed,inactive,53.175077,-2.359573,24,15.69
c92d39cb-5d98-4284-9435-cc0e02b72ac4,2025-04-11T18:27:41.349960,Manchester,DRV-3029,RID-5312,completed,inactive,51.97312,-1.447232,50,15.43
195e5e74-c314-489b-974e-4323178d02f3,2025-04-11T18:27:41.349971,Birmingham,DRV-4596,RID-5321,in_progress,active,52.277244,-3.000105,58,27.07
ca753822-61db-4a05-8f5a-5843e34f51b0,2025-04-11T18:27:41.349981,Birmingham,DRV-9122,RID-9632,cancelled,inactive,52.168521,-1.360884,31,28.75
