event_id,timestamp,city,driver_id,rider_id,trip_status,fare_amount
e3393f23-0ce5-4c51-a262-c4928e35a841,2025-04-11T10:53:00,Manchester,DRV-3540,RID-5237,in_progress,33.71
ef370527-cbbe-4832-905e-21f51500c210,2025-04-11T10:29:00,London,DRV-6674,RID-4879,completed,20.68
9740d39c-d351-4bc4-b967-0661c229886f,2025-04-11T10:44:00,Leeds,DRV-6538,RID-2043,cancelled,27.26
d8a5a210-ff21-4053-b073-b6b966f60006,2025-04-11T10:21:00,Manchester,DRV-2076,RID-5417,in_progress,12.67
36f911ae-bb88-4953-8889-f060d7799e2d,2025-04-11T10:27:00,London,DRV-8559,RID-6428,in_progress,22.63
51110d16-0e06-4b0b-aea8-c71e806d4d49,2025-04-11T10:58:00,Leeds,DRV-8053,RID-5509,completed,18.14
9e79a6b7-92dd-48f9-bb36-55a7f8948ca6,2025-04-11T10:44:00,Leeds,DRV-5802,RID-3287,cancelled,30.82
025e43a2-9c73-4907-a194-df82de168e29,2025-04-11T10:18:00,Leeds,DRV-7633,RID-7339,cancelled,35.3
2da3c4e7-97db-4cd6-aef5-a7d63d3846b0,2025-04-11T10:47:00,Leeds,DRV-9837,RID-5319,cancelled,31.87
6cda02c0-a8f6-4e0a-918a-88b99f66c14f,2025-04-11T10:05:00,London,DRV-2605,RID-4926,cancelled,4.98
c93b41da-96d9-439b-abb8-9aaca1a820c2,2025-04-11T10:32:00,Leeds,DRV-5890,RID-1600,in_progress,28.13
d4d1142b-680c-412e-ad0d-ff2bc5927dc9,2025-04-11T10:33:00,Leeds,DRV-4209,RID-2321,cancelled,23.81
287945a0-467d-4a2a-af6c-82d537eae16a,2025-04-11T10:41:00,Manchester,DRV-6278,RID-7057,in_progress,23.46
09694eb6-524b-4973-8516-b84242af716a,2025-04-11T10:25:00,London,DRV-4757,RID-8348,cancelled,8.75
e885ff66-6156-43dd-a3bf-a17d856f2990,2025-04-11T10:56:00,Leeds,DRV-6647,RID-4205,in_progress,14.61
d1185c66-f044-4993-a65f-2838312f6f22,2025-04-11T10:53:00,Leeds,DRV-3296,RID-4145,completed,4.99
d43d7292-5a72-4d97-b55a-0b619b9e0e0c,2025-04-11T10:26:00,Manchester,DRV-5411,RID-5395,cancelled,11.66
8c005ed5-a3a3-48a3-a00b-14c9122ffd5f,2025-04-11T10:00:00,Manchester,DRV-1490,RID-3155,in_progress,36.42
0cbd6517-7df1-4406-8502-fc0442527ac3,2025-04-11T10:53:00,London,DRV-1953,RID-9543,cancelled,14.86
8cf4f534-eff5-4789-8e84-02d6c478842c,2025-04-11T10:59:00,London,DRV-9053,RID-8520,in_progress,32.57
67c7cb42-482d-421e-bbd3-220b62756915,2025-04-11T10:44:00,London,DRV-5583,RID-6479,in_progress,18.9
84a1201a-bd91-4d8c-8eca-b1f8c7745e28,2025-04-11T10:09:00,Manchester,DRV-9123,RID-6223,cancelled,28.15
cb40484a-1261-47b0-a911-e2ffa48943ff,2025-04-11T10:57:00,London,DRV-2519,RID-3304,completed,37.97
f6d5d291-679b-4169-bc2e-702b4c70f4c5,2025-04-11T10:37:00,Manchester,DRV-1865,RID-9654,cancelled,16.3
220526cd-54c6-40ba-bb4a-6299db5785b8,2025-04-11T10:10:00,Manchester,DRV-7025,RID-6151,cancelled,15.95
1fa2e90c-95eb-4292-9d8c-5df4bbd3a787,2025-04-11T10:33:00,London,DRV-3300,RID-6418,completed,6.36
dbce22da-4c21-481f-8938-47cb11312a2a,2025-04-11T10:05:00,Manchester,DRV-7039,RID-6179,in_progress,27.68
fe62c1b5-84fe-423b-8f10-2d15dc5d3318,2025-04-11T10:57:00,Leeds,DRV-5308,RID-8856,cancelled,7.77
71967326-e8ca-49ac-8b56-3179a72db77c,2025-04-11T10:49:00,London,DRV-1759,RID-5500,cancelled,9.11
f6c4072f-0201-482c-b61a-6676b6799fb2,2025-04-11T10:12:00,Leeds,DRV-3939,RID-6870,in_progress,27.8
610dbbb7-b209-4f58-aa47-8484a44f3cce,2025-04-11T10:22:00,Manchester,DRV-3152,RID-6329,cancelled,22.29
4299403e-4186-4c7c-af29-b4aaf2a55631,2025-04-11T10:01:00,Leeds,DRV-3635,RID-2532,in_progress,20.98
c6feb414-499c-4fd1-b77c-cdebe0ef4234,2025-04-11T10:57:00,London,DRV-1341,RID-2948,cancelled,26.14
53192e71-e30a-4b27-bbcf-120346755e52,2025-04-11T10:44:00,Leeds,DRV-3232,RID-8961,cancelled,28.33
e1b511b4-7d38-4707-a4ec-0354f4a8d86b,2025-04-11T10:56:00,Leeds,DRV-7566,RID-2556,cancelled,21.17
db695e72-ca6d-41d2-b998-abc699268a59,2025-04-11T10:00:00,London,DRV-7717,RID-3592,cancelled,13.92
5e70685b-f86c-4b6f-be19-6195c3252681,2025-04-11T10:57:00,Leeds,DRV-7157,RID-9581,in_progress,17.73
652ce0d3-e9f0-4ad7-90b7-0621e09b358a,2025-04-11T10:02:00,London,DRV-5811,RID-2843,cancelled,11.15
4ac1c114-1f37-4633-9640-dda62386e662,2025-04-11T10:41:00,London,DRV-9539,RID-8472,completed,28.28
05bee686-4599-4ec9-a6ac-bc2cc8bf644e,2025-04-11T10:35:00,Manchester,DRV-5155,RID-5089,completed,28.6
9fe36c2d-9159-4f76-a0e8-162659ec5725,2025-04-11T10:12:00,Leeds,DRV-2881,RID-1131,in_progress,27.38
ccf0f86e-60a2-4f96-ab44-4bf957dba959,2025-04-11T10:43:00,Leeds,DRV-1807,RID-3149,cancelled,20.75
0b61a47f-fca9-4d1c-a764-c30da2d7f56f,2025-04-11T10:16:00,Manchester,DRV-1140,RID-6559,in_progress,3.74
4d1bcb69-f945-4156-8363-43ec6e0c37b1,2025-04-11T10:34:00,Leeds,DRV-9921,RID-5776,in_progress,4.24
aae7285d-16c8-48e5-800b-81cf77b2b36b,2025-04-11T10:00:00,Leeds,DRV-4727,RID-3524,in_progress,7.58
43de5fe4-8726-4754-84e2-aceb028289c9,2025-04-11T10:54:00,London,DRV-6819,RID-1484,cancelled,13.15
e6b93071-35f0-461b-af9b-00e29fab9133,2025-04-11T10:29:00,Manchester,DRV-6914,RID-6462,in_progress,8.35
1265b34a-9058-40ff-afb7-0afd4f62c90f,2025-04-11T10:01:00,Leeds,DRV-7281,RID-4576,in_progress,16.29
c9912e35-1094-4da0-b0b5-c5e107fdfe85,2025-04-11T10:41:00,Leeds,DRV-9279,RID-9353,in_progress,22.75
